bright_mc_2x1_v2;2;{0.,0.};{1.,1.};{0.,0.};{0.,0.};{1,1};{0.5,0.5};{"bright_mc","bright_mc"};bright_mc_2x1;_v2 
bright_mc_3x1_v2;3;{0.,0.,0.};{1.,1.,1.};{0.,0.,0.};{0.,0.,0.};{1,1,1};{0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc"};bright_mc_3x1;_v2 
bright_mc_4x1_v2;4;{0.,0.,0.,0.};{1.,1.,1.,1.};{0.,0.,0.,0.};{0.,0.,0.,0.};{1,1,1,1};{0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc"};bright_mc_4x1;_v2 
bright_mc_5x1_v2;5;{0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.};{1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"};bright_mc_5x1;_v2 
bright_mc_6x1_v2;6;{0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"};bright_mc_6x1;_v2 
bright_mc_7x1_v2;7;{0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc"};bright_mc_7x1;_v2 
bright_mc_8x1_v2;8;{0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc"};bright_mc_8x1;_v2 
bright_mc_9x1_v2;9;{0.,0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc"};bright_mc_9x1;_v2 
bright_mc_10x1_v2;10;{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc"};bright_mc_10x1;_v2 
bright_mc_11x1_v2;11;{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"};bright_mc_11x1;_v2 
bright_mc_12x1_v2;12;{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.};{1,1,1,1,1,1,1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{"bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"," bright_mc","bright_mc","bright_mc","bright_mc","bright_mc","bright_mc"};bright_mc_12x1;_v2 
