bright_single_2x1;2;{0.,3.};{1.,1.};{0.,1800.};{0. ,0.5};{1,1};{0.,0.};{"bright_time","bright_time"};bright_single_2x1; 
dark_single_4x1;4;{0.,30.,30., 3.};{1.,1.,1.,1.};{0.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5};{1,1,1,1};{0.,0.,0.,0.};{"bright_time","bright_time","bright_time","bright_time"};dark_single_4x1; 
mixed2_single_2x1;2;{0.,3.};{0.35,0.35};{0.,1800.};{0. ,0.5};{1,1};{0.,0.};{"dark_plane","dark_plane"};mixed2_single_2x1; 
dark_flexible_2x2;2;{-1.,-1.};{0.35,0.35};{-1.,-1.};{-1.,-1.};{2,2};{7.,7.};{"dark_faint","dark_faint"};dark_flexible_2x2; 
bright_flexible_2x1;2;{-1.,-1.};{1.,1.};{-1.,-1.};{-1.,-1.};{1,1};{0.5,0.5};{"bright_time","bright_time"};bright_flexible_2x1; 
bright_flexible_3x1;3;{-1.,-1.,-1.};{1.,1.,1.};{-1.,-1.,-1.};{-1.,-1.,-1.};{1,1,1};{0.5,0.5,0.5};{"bright_time","bright_time","bright_time"};bright_flexible_3x1; 
bright_flexible_4x1;4;{-1.,-1.,-1.,-1.};{1.,1.,1.,1.};{-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.};{1,1,1,1};{0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time"};bright_flexible_4x1; 
bright_flexible_5x1;5;{-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time","bright_time"};bright_flexible_5x1; 
bright_flexible_6x1;6;{-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1};{0.5,0.5,0.5,0.5,0.5,0.5};{"bright_time","bright_time","bright_time","bright_time","bright_time"," bright_time"};bright_flexible_6x1; 
bright_single_2x1_v1;2;{0.,3.};{1.,1.};{0.,1800.};{0. ,0.5};{1,1};{0.,0.};{"bright_time","bright_time"};bright_single_2x1;_v1 
bright_single_2x1_v2;2;{0.,3.};{1.,1.};{0.,1800.};{0. ,0.5};{1,1};{0.,0.};{"bright_time","bright_time"};bright_single_2x1;_v2 
dark_single_4x1_v1;4;{0.,30.,30., 3.};{1.,1.,1.,1.};{0.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5};{1,1,1,1};{0.,0.,0.,0.};{"bright_time","bright_time","bright_time","bright_time"};dark_single_4x1;_v1 
dark_single_4x1_v2;4;{0.,30.,30., 3.};{1.,1.,1.,1.};{0.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5};{1,1,1,1};{0.,0.,0.,0.};{"bright_time","bright_time","bright_time","bright_time"};dark_single_4x1;_v2 
mixed2_single_2x1_v1;2;{0.,3.};{0.35,0.35};{0.,1800.};{0. ,0.5};{1,1};{0.,0.};{"dark_plane","dark_plane"};mixed2_single_2x1;_v1 
mixed2_single_2x1_v2;2;{0.,3.};{0.35,0.35};{0.,1800.};{0. ,0.5};{1,1};{0.,0.};{"dark_plane","dark_plane"};mixed2_single_2x1;_v2 
dark_flexible_2x2_v1;2;{-1.,-1.};{0.35,0.35};{-1.,-1.};{-1.,-1.};{2,2};{7.,7.};{"dark_faint","dark_faint"};dark_flexible_2x2;_v1 
