bright_mc_no_apogee_skies_2x1_v2;2;{0.,0.};{1.,1.};{0.,0.};{0.,0.};{1,1};{0.5,0.5};{"bright_mc_no_apogee_skies","bright_mc_no_apogee_skies"};bright_mc_no_apogee_skies_2x1;_v2 
bright_flexible_no_apogee_skies_11x1_v2;11;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_flexible_no_apogee_skies_11x1;_v2 
dark_flexible_no_apogee_skies_3x1_v2;3;{-1.,-1.,-1.};{0.35,0.35,0.35};{-1.,-1.,-1.};{-1.,-1.,-1.};{1,1,1};{0.2,0.2,0.2};{"dark_plane_no_apogee_skies","dark_plane_no_apogee_skies"," dark_plane_no_apogee_skies"};dark_flexible_no_apogee_skies_3x1;_v2 
bright_no_apogee_skies_8x1_v2;8;{0., 30., 30.,  3., 27.,270., 30., 30.};{1.,1.,1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{1,1,1,1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_8x1;_v2 
bright_no_apogee_skies_8x2_v2;8;{0., 30., 30.,  3., 27.,270., 30., 30.};{1.,1.,1.,1.,1.,1.,1.,1.};{0.,1800.,1800.,1800.,1800.,1800.,1800.,1800.};{0. ,0.5,0.5,0.5,0.5,0.5,0.5,0.5};{2,2,2,2,2,2,2,2};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_no_apogee_skies_8x2;_v2 
bright_flexible_no_apogee_skies_12x1_v2;12;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"};bright_flexible_no_apogee_skies_12x1;_v2 
bright_no_apogee_skies_1x1_v2;1;{0.};{1.};{0.};{0.};{1};{0.2};{"bright_time_no_apogee_skies"};bright_no_apogee_skies_1x1;_v2 
bright_no_apogee_skies_1x2_v2;1;{0.};{1.};{0.};{0.};{2};{0.2};{"bright_time_no_apogee_skies"};bright_no_apogee_skies_1x2;_v2 
bright_no_apogee_skies_1x3_v2;1;{0.};{1.};{0.};{0.};{3};{0.2};{"bright_time_no_apogee_skies"};bright_no_apogee_skies_1x3;_v2 
bright_no_apogee_skies_1x4_v2;1;{0.};{1.};{0.};{0.};{4};{0.2};{"bright_time_no_apogee_skies"};bright_no_apogee_skies_1x4;_v2 
bright_no_apogee_skies_1x5_v2;1;{0.};{1.};{0.};{0.};{5};{0.2};{"bright_time_no_apogee_skies"};bright_no_apogee_skies_1x5;_v2 
