generation_pk,carton_pk,rs_stage,rs_active
3,1049,srd,true
3,1050,srd,true
3,1051,srd,true
3,731,srd,true
3,732,srd,true
3,1052,srd,true
3,1053,srd,true
3,1115,srd,true
3,1114,srd,true
3,734,srd,false
3,733,srd,false
3,1116,filler,true
3,710,srd,true
3,711,srd,true
3,726,srd,true
3,724,srd,true
3,723,srd,true
3,725,srd,true
3,696,srd,true
3,693,srd,true
3,694,srd,true
3,704,srd,true
3,695,srd,true
3,705,srd,true
3,706,srd,true
3,709,srd,true
3,707,srd,true
3,708,srd,true
3,1048,none,false
3,1069,none,false
3,1070,none,false
3,1071,none,false
3,1072,none,false
3,1047,none,false
3,1073,none,false
3,1074,none,false
3,1075,none,false
3,1076,none,false
3,1077,none,false
3,1078,none,false
3,1079,none,false
3,1080,none,false
3,1094,none,false
3,1043,srd,true
3,1044,srd,true
3,1132,srd,true
3,1133,srd,true
3,539,srd,true
3,540,srd,true
3,537,srd,true
3,538,srd,true
3,632,srd,true
3,633,srd,true
3,547,srd,true
3,548,srd,true
3,715,srd,true
3,583,srd,true
3,771,srd,true
3,772,srd,true
3,770,srd,true
3,544,srd,true
3,754,srd,false
3,755,srd,false
3,580,srd,true
3,753,srd,true
3,752,srd,true
3,1130,srd,true
3,1131,srd,true
3,587,srd,true
3,551,srd,true
3,552,srd,true
3,553,srd,true
3,1104,srd,true
3,586,srd,true
3,637,srd,true
3,585,srd,true
3,1121,srd,true
3,1122,srd,true
3,1123,srd,true
3,1124,srd,true
3,1125,srd,true
3,1126,srd,true
3,1127,srd,true
3,564,srd,false
3,565,srd,false
3,750,srd,true
3,751,srd,true
3,1128,srd,true
3,1129,srd,true
3,999,open,true
3,1000,open,true
3,1001,open,true
3,1002,open,true
3,1003,open,true
3,1004,open,true
3,1005,open,true
3,1006,open,true
3,1007,open,true
3,1008,open,true
3,1040,open,true
3,1041,open,true
3,1042,open,true
3,1009,open,true
3,1010,open,true
3,1011,open,true
3,1012,open,true
3,1013,open,true
3,1014,open,true
3,1015,open,true
3,1016,open,true
3,1017,open,true
3,1018,open,true
3,1019,open,true
3,1020,open,true
3,1021,open,true
3,1022,open,true
3,1110,filler,true
3,1111,filler,true
3,1023,open,true
3,1024,open,true
3,1025,open,true
3,1026,open,true
3,1027,open,true
3,1028,open,true
3,1029,open,true
3,1030,open,true
3,1031,open,true
3,1056,open,true
3,1057,open,true
3,1058,open,true
3,1059,open,true
3,1036,open,true
3,1037,open,true
3,1067,none,false
3,1068,none,false
3,1097,srd,true
3,1098,srd,true
3,1095,srd,true
3,1096,srd,true
3,1108,srd,true
3,532,srd,true
3,530,srd,true
3,729,srd,true
3,727,srd,true
3,728,srd,true
3,531,srd,true
3,675,srd,true
3,529,srd,true
3,1066,none,false
4,1049,srd,true
4,1050,srd,true
4,1051,srd,true
4,731,srd,true
4,732,srd,true
4,1052,srd,true
4,1053,srd,true
4,1115,srd,true
4,1114,srd,true
4,734,srd,false
4,733,srd,false
4,1116,filler,true
4,710,srd,true
4,711,srd,true
4,726,srd,true
4,724,srd,true
4,723,srd,true
4,725,srd,true
4,696,srd,true
4,693,srd,true
4,694,srd,true
4,704,srd,true
4,695,srd,true
4,705,srd,true
4,706,srd,true
4,709,srd,true
4,707,srd,true
4,708,srd,true
4,1048,none,false
4,1069,none,false
4,1070,none,false
4,1071,none,false
4,1072,none,false
4,1047,none,false
4,1073,none,false
4,1074,none,false
4,1075,none,false
4,1076,none,false
4,1077,none,false
4,1078,none,false
4,1079,none,false
4,1080,none,false
4,1094,none,false
4,1043,srd,true
4,1044,srd,true
4,1134,srd,true
4,1132,srd,true
4,1133,srd,true
4,539,srd,true
4,540,srd,true
4,537,srd,true
4,538,srd,true
4,632,srd,true
4,633,srd,true
4,547,srd,true
4,548,srd,true
4,715,srd,true
4,583,srd,true
4,771,srd,true
4,772,srd,true
4,770,srd,true
4,544,srd,true
4,754,srd,false
4,755,srd,false
4,580,srd,true
4,753,srd,true
4,752,srd,true
4,1130,srd,true
4,1131,srd,true
4,587,srd,true
4,551,srd,true
4,552,srd,true
4,553,srd,true
4,1104,srd,false
4,586,srd,true
4,637,srd,true
4,585,srd,true
4,1121,srd,true
4,1122,srd,true
4,1123,srd,true
4,1124,srd,true
4,1125,srd,true
4,1126,srd,true
4,1127,srd,true
4,564,srd,false
4,565,srd,false
4,750,srd,true
4,751,srd,true
4,1128,srd,true
4,1129,srd,true
4,999,open,true
4,1000,open,true
4,1001,open,true
4,1002,open,true
4,1003,open,true
4,1004,open,true
4,1005,open,true
4,1006,open,true
4,1007,open,true
4,1008,open,true
4,1040,open,true
4,1041,open,true
4,1042,open,true
4,1009,open,true
4,1010,open,true
4,1011,open,true
4,1012,open,true
4,1013,open,true
4,1014,open,true
4,1015,open,true
4,1016,open,true
4,1017,open,true
4,1018,open,true
4,1019,open,true
4,1020,open,true
4,1021,open,true
4,1022,open,true
4,1110,filler,true
4,1111,filler,true
4,1023,open,true
4,1024,open,true
4,1025,open,true
4,1026,open,true
